reporting_date,portfolio,expected_losses
2007-03-31,auto,0.0115743
2007-04-30,auto,0.0199256
2007-05-31,auto,0.0205006
2007-06-30,auto,0.0124993
2007-07-31,auto,0.0126768
2007-08-31,auto,0.0214905
2007-09-30,auto,0.021723
2007-10-31,auto,0.0219299
2007-11-30,auto,0.0133336
2007-12-31,auto,0.0225976
2008-01-31,auto,0.0135011
2008-02-29,auto,0.0181287
2008-03-31,auto,0.0132
2008-04-30,auto,0.0129
2008-05-31,auto,0.0168
2008-06-30,auto,0.0168
2008-07-31,auto,0.0126
2008-08-31,auto,0.021
2008-09-30,auto,0.0168
2008-10-31,auto,0.0212484
2008-11-30,auto,0.0211338
2008-12-31,auto,0.0216943
2009-01-31,auto,0.0223051
2009-02-28,auto,0.0177679
2009-03-31,auto,0.0171123
2009-04-30,auto,0.0169084
2009-05-31,auto,0.0204769
2009-06-30,auto,0.0162108
2009-07-31,auto,0.0120183
2009-08-31,auto,0.0120442
2009-09-30,auto,0.0119275
2009-10-31,auto,0.0118086
2009-11-30,auto,0.0192603
2009-12-31,auto,0.011517
2010-01-31,auto,0.0190853
2010-02-28,auto,0.0112066
2010-03-31,auto,0.0184692
2010-04-30,auto,0.0176529
2010-05-31,auto,0.013627
2010-06-30,auto,0.0099463
2010-07-31,auto,0.0131245
2010-08-31,auto,0.0097564
2010-09-30,auto,0.0098734
2010-10-31,auto,0.0096595
2010-11-30,auto,0.00955
2010-12-31,auto,0.0130868
2011-01-31,auto,0.0163987
2011-02-28,auto,0.0099
2011-03-31,auto,0.0096
2011-04-30,auto,0.0093001
2011-05-31,auto,0.009194
2011-06-30,auto,0.0155
2011-07-31,auto,0.00906
2011-08-31,auto,0.0123545
2011-09-30,auto,0.0093564
2011-10-31,auto,0.0093026
2011-11-30,auto,0.0154789
2011-12-31,auto,0.0126114
2012-01-31,auto,0.0159469
2012-02-29,auto,0.0094246
2012-03-31,auto,0.0122141
2012-04-30,auto,0.0088629
2012-05-31,auto,0.0146265
2012-06-30,auto,0.0143013
2012-07-31,auto,0.0113307
2012-08-31,auto,0.0085878
2012-09-30,auto,0.0142286
2012-10-31,auto,0.013927
2012-11-30,auto,0.0083964
2012-12-31,auto,0.011403
2013-01-31,auto,0.0087567
2013-02-28,auto,0.0116583
2013-03-31,auto,0.0112502
2013-04-30,auto,0.0083281
2013-05-31,auto,0.0083093
