Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2021-03-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5660948000
2020-12-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2020-12-31,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2020-12-31,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,8032341000
2020-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2020-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2020-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2020-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2020-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2020-12-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,3096591000
2020-12-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2020-12-31,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1278233000
2020-12-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,418855000
2020-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2020-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,
2020-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2020-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2020-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2020-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2020-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,
2020-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,
2020-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2020-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2020-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2020-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,
2020-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2020-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2020-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2020-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2020-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2020-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,
2020-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,
2020-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2020-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
